epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,264.246,0.54414,0.35902,0.964,0.9891,1,0.99356,0.96393,0.28303,0.1914,0.79719,0.0011684,0.0011684,0.0011684
65,268.364,0.49998,0.3277,0.93142,0.98902,1,0.99459,0.9538,0.31115,0.20197,0.80611,0.0011552,0.0011552,0.0011552
66,272.28,0.51926,0.34498,0.9412,0.98868,1,0.99407,0.96299,0.29911,0.20433,0.8021,0.001142,0.001142,0.001142
67,276.356,0.48469,0.33223,0.92149,0.98778,1,0.99263,0.97767,0.23836,0.19211,0.79235,0.0011288,0.0011288,0.0011288
68,280.38,0.50283,0.34221,0.92895,0.98837,1,0.99026,0.96067,0.2831,0.20517,0.79874,0.0011156,0.0011156,0.0011156
69,284.298,0.49424,0.33733,0.9262,0.98656,1,0.9918,0.96792,0.25093,0.19317,0.79237,0.0011024,0.0011024,0.0011024
70,288.45,0.47492,0.32402,0.91097,0.9887,1,0.99088,0.97137,0.2689,0.19325,0.79454,0.0010892,0.0010892,0.0010892
71,292.595,0.4825,0.3171,0.90932,0.9892,1,0.99314,0.98202,0.23369,0.18977,0.78937,0.001076,0.001076,0.001076
72,296.809,0.50016,0.32631,0.93129,0.98903,1,0.99222,0.97572,0.24598,0.18539,0.79218,0.0010628,0.0010628,0.0010628
73,300.783,0.49041,0.32327,0.92138,0.98969,0.99987,0.99366,0.94796,0.31428,0.21165,0.80494,0.0010496,0.0010496,0.0010496
74,304.566,0.48387,0.31735,0.92066,0.98883,1,0.99232,0.97731,0.23805,0.19085,0.79216,0.0010364,0.0010364,0.0010364
75,308.464,0.48621,0.32845,0.92335,0.98797,1,0.99448,0.97284,0.25962,0.18567,0.79765,0.0010232,0.0010232,0.0010232
76,312.797,0.50404,0.35273,0.94879,0.98699,1,0.98665,0.96535,0.26341,0.18892,0.7941,0.00101,0.00101,0.00101
77,316.859,0.49377,0.33117,0.93111,0.98805,1,0.99407,0.96326,0.25968,0.20313,0.79829,0.0009968,0.0009968,0.0009968
78,320.931,0.47842,0.32023,0.91753,0.98863,1,0.9917,0.9734,0.26145,0.18771,0.79377,0.0009836,0.0009836,0.0009836
79,325.053,0.44979,0.30434,0.90839,0.98872,1,0.98892,0.95308,0.29455,0.1892,0.79811,0.0009704,0.0009704,0.0009704
80,329.242,0.47096,0.31798,0.91931,0.98884,1,0.9884,0.97318,0.26721,0.17657,0.79342,0.0009572,0.0009572,0.0009572
81,333.187,0.45405,0.30434,0.91499,0.98946,1,0.99387,0.95883,0.31574,0.19088,0.80303,0.000944,0.000944,0.000944
82,337.325,0.45638,0.30246,0.91393,0.98895,1,0.98474,0.96967,0.24702,0.18014,0.79021,0.0009308,0.0009308,0.0009308
83,341.552,0.48146,0.31578,0.91738,0.9889,1,0.99026,0.96369,0.2833,0.19051,0.79728,0.0009176,0.0009176,0.0009176
84,345.64,0.48491,0.30649,0.92613,0.98888,1,0.99314,0.9761,0.23549,0.1771,0.78882,0.0009044,0.0009044,0.0009044
85,349.679,0.46729,0.30012,0.91934,0.98867,1,0.99387,0.98018,0.22859,0.18256,0.7891,0.0008912,0.0008912,0.0008912
86,353.807,0.47443,0.31728,0.92263,0.98898,1,0.98768,0.97286,0.24904,0.18286,0.79366,0.000878,0.000878,0.000878
87,357.926,0.45791,0.29792,0.91461,0.98886,1,0.98923,0.97502,0.22286,0.17138,0.78852,0.0008648,0.0008648,0.0008648
88,361.979,0.44312,0.2942,0.90387,0.98826,1,0.9884,0.9708,0.24387,0.1756,0.78807,0.0008516,0.0008516,0.0008516
89,366.333,0.46847,0.30281,0.91547,0.98928,1,0.99077,0.97382,0.24853,0.17699,0.78774,0.0008384,0.0008384,0.0008384
90,370.466,0.46259,0.29692,0.91282,0.98904,1,0.98634,0.97708,0.21119,0.15942,0.78193,0.0008252,0.0008252,0.0008252
91,374.621,0.44622,0.29315,0.89957,0.989,1,0.98851,0.97135,0.24035,0.17332,0.78901,0.000812,0.000812,0.000812
92,378.658,0.46239,0.30752,0.90961,0.98897,1,0.99263,0.97715,0.23443,0.17433,0.78836,0.0007988,0.0007988,0.0007988
93,382.755,0.44755,0.2946,0.90276,0.98911,1,0.99294,0.97633,0.22948,0.16239,0.78714,0.0007856,0.0007856,0.0007856
94,386.829,0.44726,0.29286,0.90927,0.98909,1,0.9918,0.97632,0.2508,0.17182,0.79193,0.0007724,0.0007724,0.0007724
95,390.903,0.45218,0.29878,0.90943,0.98909,1,0.99046,0.97505,0.23015,0.17252,0.7882,0.0007592,0.0007592,0.0007592
96,394.926,0.44386,0.28957,0.91097,0.98906,1,0.9884,0.97097,0.24477,0.17128,0.78843,0.000746,0.000746,0.000746
97,399.002,0.43734,0.28727,0.90198,0.98896,1,0.99232,0.97776,0.22133,0.16453,0.784,0.0007328,0.0007328,0.0007328
98,403.337,0.46191,0.29601,0.91327,0.98899,1,0.99088,0.97409,0.20975,0.15486,0.78284,0.0007196,0.0007196,0.0007196
99,407.432,0.42427,0.27736,0.89557,0.98905,1,0.99428,0.97529,0.25785,0.16701,0.79151,0.0007064,0.0007064,0.0007064
100,411.719,0.42679,0.28901,0.90478,0.98901,1,0.99284,0.98593,0.2183,0.16372,0.78555,0.0006932,0.0006932,0.0006932
101,415.702,0.44369,0.27923,0.89632,0.98908,1,0.99263,0.98051,0.22738,0.16254,0.79082,0.00068,0.00068,0.00068
102,419.703,0.41633,0.28122,0.89493,0.98917,1,0.99129,0.97835,0.23026,0.156,0.79035,0.0006668,0.0006668,0.0006668
103,423.703,0.43216,0.27796,0.90315,0.98908,1,0.99314,0.98354,0.21318,0.15573,0.78482,0.0006536,0.0006536,0.0006536
104,427.801,0.41553,0.26813,0.89706,0.98866,1,0.98675,0.97633,0.22104,0.15716,0.78551,0.0006404,0.0006404,0.0006404
105,432.002,0.42366,0.27831,0.90431,0.98893,1,0.99108,0.97875,0.21801,0.15551,0.78585,0.0006272,0.0006272,0.0006272
