epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
50,14852.3,0.57562,0.44318,0.93193,0.99542,0.97269,0.98821,0.94204,0.2489,0.37887,0.59448,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,15145.7,0.57434,0.43621,0.92982,0.99426,0.97324,0.98827,0.94308,0.24791,0.37565,0.594,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,15438.7,0.57077,0.43316,0.92921,0.9959,0.97324,0.9883,0.94335,0.24683,0.36551,0.59353,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,15731.7,0.56984,0.43164,0.92946,0.98929,0.97846,0.98847,0.94429,0.24582,0.36079,0.59304,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,16025.5,0.56619,0.43035,0.92939,0.99017,0.97826,0.9886,0.94452,0.24483,0.35192,0.59267,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,16317.5,0.55974,0.4254,0.92477,0.98986,0.97938,0.9887,0.94495,0.24396,0.33978,0.59235,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,16611.5,0.56187,0.42425,0.92763,0.99026,0.97938,0.98883,0.94535,0.24292,0.3312,0.5919,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,16903.6,0.55516,0.41759,0.9232,0.99042,0.97967,0.98901,0.94568,0.24209,0.32172,0.59135,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,17197.1,0.54643,0.40981,0.92021,0.99098,0.97962,0.98916,0.94645,0.24124,0.31368,0.59084,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,17489.4,0.54025,0.40381,0.91605,0.99098,0.98006,0.98932,0.94679,0.2404,0.30696,0.59045,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
